datetime,temp,dew,humidity,precip,windspeed,conditions
2023-10-01,17.4,10.1,63.8,3.523,14.8,"Rain, Partially cloudy"
2023-10-02,19.2,10.4,58.3,0.0,20.5,Partially cloudy
2023-10-03,21.0,9.7,50.5,0.0,12.9,Clear
2023-10-04,23.9,9.7,43.0,0.0,22.3,Clear
2023-10-05,25.0,9.4,39.3,0.0,22.2,Clear
2023-10-06,26.2,10.0,37.4,0.0,16.5,Clear
2023-10-07,27.1,10.0,36.4,0.0,18.1,Clear
2023-10-08,28.1,7.5,28.9,0.0,16.4,Clear
2023-10-09,25.3,7.5,34.3,0.0,27.5,Clear
2023-10-10,20.1,12.2,62.0,0.0,16.9,Clear
2023-10-11,18.4,8.4,53.2,0.004,31.5,"Rain, Partially cloudy"
2023-10-12,18.5,6.2,46.4,0.0,14.8,Clear
2023-10-13,20.4,4.5,38.7,0.0,18.1,Clear
2023-10-14,21.2,3.5,32.1,0.0,13.0,Clear
2023-10-15,21.0,6.3,40.0,0.0,9.6,Clear
2023-10-16,22.0,8.5,43.4,0.0,15.0,Clear
2023-10-17,20.8,11.1,54.8,0.0,11.1,Clear
2023-10-18,22.7,11.9,52.6,0.0,20.4,Clear
2023-10-19,24.5,11.6,46.7,0.0,18.2,Clear
2023-10-20,26.1,9.5,38.0,0.0,16.7,Clear
2023-10-21,22.7,10.2,46.3,0.0,23.9,Clear
2023-10-22,19.2,11.4,62.8,0.0,26.1,Clear
2023-10-23,17.4,13.6,78.8,3.78,23.9,"Rain, Partially cloudy"
2023-10-24,18.5,11.8,67.5,0.0,11.4,Clear
2023-10-25,18.9,9.8,58.8,0.0,29.7,Clear
2023-10-26,15.2,7.8,63.0,0.0,16.8,Clear
2023-10-27,14.2,6.3,61.4,0.0,19.8,Clear
2023-10-28,13.6,3.3,53.0,0.0,20.5,Clear
2023-10-29,13.8,1.0,44.4,0.0,18.6,Clear
2023-10-30,14.4,-1.7,37.0,0.0,18.4,Clear
2023-10-31,15.9,-1.4,32.6,0.0,18.5,Clear
2023-11-01,15.9,0.3,36.6,0.0,20.4,Clear
2023-11-02,16.9,-0.1,34.0,0.0,14.6,Clear
2023-11-03,17.1,0.6,34.4,0.0,9.3,Clear
2023-11-04,18.3,1.6,34.2,0.0,12.7,Clear
2023-11-05,19.2,2.5,34.2,0.0,16.6,Clear
2023-11-06,18.6,8.3,51.7,0.0,22.3,Partially cloudy
2023-11-07,15.1,9.1,69.3,0.308,22.4,"Rain, Partially cloudy"
2023-11-08,13.5,5.1,59.2,0.0,13.2,Clear
2023-11-09,13.1,3.6,54.3,0.0,14.7,Clear
2023-11-10,12.4,2.6,52.6,0.0,12.8,Clear
2023-11-11,13.3,2.5,49.6,0.0,11.3,Clear
2023-11-12,16.0,-0.3,37.7,0.0,14.7,Clear
2023-11-13,19.0,-3.6,22.5,0.003,27.6,Rain
2023-11-14,15.1,-0.3,36.4,0.0,16.7,Clear
2023-11-15,16.3,1.0,38.9,0.043,37.0,"Rain, Partially cloudy"
2023-11-16,18.8,8.9,54.1,0.006,18.2,"Rain, Partially cloudy"
2023-11-17,18.0,7.9,55.5,0.0,34.9,Clear
2023-11-18,18.1,8.1,55.8,0.316,27.5,"Rain, Partially cloudy"
2023-11-19,13.2,7.0,68.3,0.008,22.5,"Rain, Partially cloudy"
2023-11-20,10.9,2.8,60.7,0.0,13.2,Clear
2023-11-21,13.8,0.4,43.7,0.0,15.2,Clear
2023-11-22,12.5,1.7,49.1,0.0,11.2,Clear
2023-11-23,13.7,2.4,48.3,0.0,15.0,Clear
2023-11-24,10.6,-0.1,49.6,0.0,14.7,Clear
2023-11-25,9.0,-0.6,53.0,0.0,11.6,Clear
2023-11-26,9.3,-2.0,47.3,0.0,29.7,Clear
2023-11-27,10.4,-3.5,40.0,0.0,15.0,Clear
2023-11-28,11.5,-4.4,35.2,0.0,13.0,Clear
2023-11-29,12.8,0.0,42.1,0.0,13.1,Partially cloudy
2023-11-30,11.7,3.9,59.8,0.004,9.5,"Rain, Partially cloudy"
2023-12-01,10.5,3.4,62.8,0.0,18.5,Partially cloudy
2023-12-02,10.2,2.3,59.4,0.0,13.0,Clear
2023-12-03,10.5,3.0,60.5,0.0,11.3,Clear
2023-12-04,11.6,4.3,61.6,0.0,16.0,Clear
2023-12-05,12.0,5.1,64.4,0.0,25.4,Clear
2023-12-06,15.0,5.7,58.4,0.0,31.3,Clear
2023-12-07,12.0,5.8,66.9,0.002,18.7,"Rain, Partially cloudy"
2023-12-08,7.9,3.3,72.7,0.0,18.4,Partially cloudy
2023-12-09,7.8,2.2,69.2,0.0,11.8,Clear
2023-12-10,8.2,1.9,65.9,0.0,11.5,Clear
2023-12-11,9.5,1.4,58.4,0.0,9.4,Clear
2023-12-12,9.6,1.1,56.4,0.0,11.0,Clear
2023-12-13,9.4,0.6,56.3,0.0,11.4,Clear
2023-12-14,10.9,1.2,53.6,0.0,13.1,Clear
2023-12-15,11.0,0.5,51.4,0.0,16.8,Clear
2023-12-16,11.8,1.2,50.8,0.0,13.1,Clear
2023-12-17,12.3,1.7,49.1,0.0,13.2,Clear
2023-12-18,15.4,4.1,50.0,0.009,18.4,"Rain, Partially cloudy"
